X,Y,item,pagerank,chosen
-13.242397,-42.56006,cloud computing,0.0013521328243920002,1.0
42.664997,13.11678,evolutionary psychology,0.0006986961801552235,1.0
-12.628043,42.93922,visual perception,0.0006233795694371063,1.0
17.878042,-14.927996,cognitive science,0.0002921853226297232,1.0
39.976368,3.763149,cognitive psychology,0.0002549623909185171,1.0
46.243664,-8.056578,empathy,0.0001449283449296483,1.0
-52.634617,-43.095295,electromagnetic wave equation,0.0021530226387715358,1.0
34.665226,-4.1394653,embodied cognition,0.0001449283449296483,1.0
3.612375,-56.42733,wearable computer,0.00038850195641106425,1.0
-60.43645,1.1911821,spatial dependence,0.0002921853226297232,1.0
24.758049,29.43216,psychoacoustics,0.0022762794891705547,1.0
-6.718062,-14.573076,artificial neural network,0.0001449283449296483,1.0
14.003852,-8.629227,simulated consciousness,0.0022458389306987073,1.0
-49.161736,-23.60814,finite element method,0.0001749529712241453,1.0
5.190947,10.544855,gestalt psychology,0.0001749529712241453,0.0
-26.461552,-48.562656,3d modeling,0.00029089829088884144,1.0
17.008244,-1.1902832,brain–computer interface,0.0001749529712241453,1.0
37.381485,30.606184,speech repetition,0.0001749529712241453,1.0
-7.5380373,30.767916,optical illusion,0.0001749529712241453,0.0
-8.187716,4.1093,turing test,0.0001749529712241453,1.0
-0.35657275,-32.25962,decision theory,0.0001749529712241453,1.0
2.0503118,-4.424568,computational neuroscience,0.0001749529712241453,1.0
-6.314169,30.250023,visual illusion,0.0001749529712241453,0.0
40.514812,-11.9299135,theory of mind,0.0001749529712241453,0.0
-41.15207,19.141039,accessibility,0.0001749529712241453,1.0
-2.567792,72.06952,superlens,0.0002824179060477807,1.0
-3.017804,20.420895,motion perception,0.0001749529712241453,0.0
8.183755,-31.220572,system dynamics,0.0001749529712241453,1.0
-34.684357,30.562103,blindness,0.0016767509378586968,0.0
31.249353,-5.1334696,predictive coding,0.0002350207894437131,0.0
18.076452,-54.119915,transhumanism,0.00022161294568819924,1.0
-22.417364,-18.820047,space mapping,0.00013808863747340866,0.0
18.591002,-30.601912,mental model,0.0002389146716762545,0.0
-44.28588,-13.791156,interval finite element,0.00013808863747340866,1.0
43.19404,-2.199685,social cognition,0.00013808863747340866,0.0
33.53758,-33.827606,map–territory relation,0.00013808863747340866,0.0
2.4761007,43.325428,visual system,0.0007548921682820603,0.0
41.663033,-31.591175,scientific perspectivism,0.00013808863747340866,0.0
0.38943186,-71.42983,digital footprint,0.0002305361084773257,0.0
-2.9936337,-68.6015,lifecasting (video stream),0.00013808863747340866,0.0
23.294964,10.424996,cognitive neuropsychology,0.0014237436696509444,0.0
14.844855,25.973782,senses,0.001094980578459649,0.0
28.858902,46.778522,recognition of human individuals,0.00012477920026904494,1.0
38.735264,10.15498,social neuroscience,0.0009188330211533095,0.0
26.533236,-15.694969,eliminative materialism,0.0007807029110409689,0.0
-3.2956243,-67.03124,lifestreaming,0.0005718608979177076,0.0
-41.47615,0.6746991,tensor,0.0008454788621145839,1.0
3.2757862,29.399876,two streams hypothesis,0.00022383379302664153,0.0
-41.98202,25.1516,disability rights movement,0.0014483362721753816,0.0
-17.712597,3.32876,graphical user interface,0.0010988202477038016,1.0
33.414566,-7.7301373,enactivism,0.0036479928192216923,0.0
31.27283,-1.0609071,situated cognition,0.0019758306886080946,0.0
40.533638,20.548521,animal cognition,0.00046010104409016205,0.0
3.6158447,69.66068,fourier analysis,0.00019572053706225012,1.0
20.84554,15.475384,face perception,0.0006965140861927179,0.0
13.337147,-53.24553,human enhancement,0.0002697755715743133,0.0
35.55536,9.320426,cognitive neuroscience,0.0008778212033802498,0.0
-23.43503,-28.244629,conceptual model,0.00033454974470289973,0.0
20.817884,42.819378,n170,0.000677031819832506,1.0
50.822502,-29.641706,mereology,0.0006738590740346783,0.0
16.847303,20.22447,synesthesia,0.00034977928764075636,0.0
-19.28345,-7.2956667,mono (software),0.0005829713385260944,0.0
-2.067428,-48.56317,internet of things,0.00021444120705916853,0.0
42.174927,-20.537657,intentional stance,0.0010624040016169146,0.0
6.4448705,49.35769,gamma correction,0.0020693655999569384,0.0
33.7363,18.949797,emotional contagion,0.00030539733274240254,0.0
23.981531,39.79982,prosopagnosia,0.0007232191800842928,0.0
-4.148358,-3.6502662,pattern recognition,0.0007975061056461174,0.0
8.99295,-13.913247,informatics (academic field),0.00041471726971679484,0.0
18.625498,26.929485,sensory processing disorder,0.0006238826898935303,0.0
-26.737616,-20.393543,optimal design,0.0009260555276332801,0.0
47.43547,2.0189881,cognition,0.0003018757437619346,0.0
