X,Y,Z,item,pagerank,chosen
-5.3440843,-13.896581,-13.896581,cloud computing,0.0013521328243920002,1.0
12.959835,1.6373533,1.6373533,evolutionary psychology,0.0006986961801552235,1.0
-9.399863,5.780833,5.780833,visual perception,0.0006233795694371063,1.0
2.4175687,-12.603775,-12.603775,cognitive science,0.0002921853226297232,1.0
5.512045,1.4712421,1.4712421,cognitive psychology,0.0002549623909185171,1.0
12.434543,6.447441,6.447441,empathy,0.0001449283449296483,1.0
-9.791907,-9.0480385,-9.0480385,electromagnetic wave equation,0.0021530226387715358,1.0
10.050574,-2.2663546,-2.2663546,embodied cognition,0.0001449283449296483,1.0
-5.675574,-11.088109,-11.088109,wearable computer,0.00038850195641106425,1.0
-1.3043172,8.918731,8.918731,spatial dependence,0.0002921853226297232,1.0
5.1328735,2.6756673,2.6756673,psychoacoustics,0.0022762794891705547,1.0
-1.5966777,-1.8941995,-1.8941995,artificial neural network,0.0001449283449296483,1.0
10.600216,-11.991252,-11.991252,simulated consciousness,0.0022458389306987073,1.0
-7.544963,-1.4048287,-1.4048287,finite element method,0.0001749529712241453,1.0
1.8497221,8.3895645,8.3895645,gestalt psychology,0.0001749529712241453,0.0
-10.560507,-15.026019,-15.026019,3d modeling,0.00029089829088884144,1.0
8.946576,-13.303674,-13.303674,brain–computer interface,0.0001749529712241453,1.0
13.228238,5.092594,5.092594,speech repetition,0.0001749529712241453,1.0
-2.296003,9.805883,9.805883,optical illusion,0.0001749529712241453,0.0
3.7879977,-18.435047,-18.435047,turing test,0.0001749529712241453,1.0
9.199307,-11.658373,-11.658373,decision theory,0.0001749529712241453,1.0
1.5448248,-8.193046,-8.193046,computational neuroscience,0.0001749529712241453,1.0
-2.0886793,7.3089156,7.3089156,visual illusion,0.0001749529712241453,0.0
14.0166235,2.1806395,2.1806395,theory of mind,0.0001749529712241453,0.0
-14.782015,-5.4865294,-5.4865294,accessibility,0.0001749529712241453,1.0
-7.8648167,17.888214,17.888214,superlens,0.0002824179060477807,1.0
-1.7213745,2.0261834,2.0261834,motion perception,0.0001749529712241453,0.0
7.6455383,-8.2424,-8.2424,system dynamics,0.0001749529712241453,1.0
-14.455988,0.3046483,0.3046483,blindness,0.0016767509378586968,0.0
8.979117,-5.3867664,-5.3867664,predictive coding,0.0002350207894437131,0.0
4.8478513,-13.506254,-13.506254,transhumanism,0.00022161294568819924,1.0
0.95423496,0.47936004,0.47936004,space mapping,0.00013808863747340866,0.0
8.961948,5.907416,5.907416,mental model,0.0002389146716762545,0.0
-5.7147784,1.9980122,1.9980122,interval finite element,0.00013808863747340866,1.0
8.383459,8.665903,8.665903,social cognition,0.00013808863747340866,0.0
16.312073,0.43520966,0.43520966,map–territory relation,0.00013808863747340866,0.0
-3.015983,11.375861,11.375861,visual system,0.0007548921682820603,0.0
17.583235,4.1272135,4.1272135,scientific perspectivism,0.00013808863747340866,0.0
-8.886084,-11.43825,-11.43825,digital footprint,0.0002305361084773257,0.0
-6.8922806,-7.0865383,-7.0865383,lifecasting (video stream),0.00013808863747340866,0.0
5.8260727,8.872565,8.872565,cognitive neuropsychology,0.0014237436696509444,0.0
0.056601033,-1.1949524,-1.1949524,senses,0.001094980578459649,0.0
8.301577,16.102135,16.102135,recognition of human individuals,0.00012477920026904494,1.0
7.3405147,3.1170123,3.1170123,social neuroscience,0.0009188330211533095,0.0
13.243882,-2.2545476,-2.2545476,eliminative materialism,0.0007807029110409689,0.0
-8.315743,-8.215169,-8.215169,lifestreaming,0.0005718608979177076,0.0
-10.251203,7.2436733,7.2436733,tensor,0.0008454788621145839,1.0
-3.3339484,3.0626857,3.0626857,two streams hypothesis,0.00022383379302664153,0.0
-16.51,-3.9981482,-3.9981482,disability rights movement,0.0014483362721753816,0.0
-13.969254,-8.662324,-8.662324,graphical user interface,0.0010988202477038016,1.0
11.902175,-3.8394876,-3.8394876,enactivism,0.0036479928192216923,0.0
7.0663033,-4.436272,-4.436272,situated cognition,0.0019758306886080946,0.0
15.038296,-2.014249,-2.014249,animal cognition,0.00046010104409016205,0.0
-3.8558042,20.087814,20.087814,fourier analysis,0.00019572053706225012,1.0
5.925904,9.345848,9.345848,face perception,0.0006965140861927179,0.0
2.0035458,-15.264096,-15.264096,human enhancement,0.0002697755715743133,0.0
5.134239,3.0483015,3.0483015,cognitive neuroscience,0.0008778212033802498,0.0
6.0771675,2.832024,2.832024,conceptual model,0.00033454974470289973,0.0
7.3403726,15.990251,15.990251,n170,0.000677031819832506,1.0
16.922403,9.847939,9.847939,mereology,0.0006738590740346783,0.0
-0.64706105,-1.8091336,-1.8091336,synesthesia,0.00034977928764075636,0.0
-10.9763975,-7.7216825,-7.7216825,mono (software),0.0005829713385260944,0.0
-7.141892,-10.30242,-10.30242,internet of things,0.00021444120705916853,0.0
19.419777,-3.1575544,-3.1575544,intentional stance,0.0010624040016169146,0.0
-1.2674589,12.004696,12.004696,gamma correction,0.0020693655999569384,0.0
9.717765,6.230176,6.230176,emotional contagion,0.00030539733274240254,0.0
6.2526274,13.410541,13.410541,prosopagnosia,0.0007232191800842928,0.0
-0.338577,5.3969407,5.3969407,pattern recognition,0.0007975061056461174,0.0
-0.58350545,-10.461258,-10.461258,informatics (academic field),0.00041471726971679484,0.0
3.6478784,-2.3443205,-2.3443205,sensory processing disorder,0.0006238826898935303,0.0
3.7618713,0.21746695,0.21746695,optimal design,0.0009260555276332801,0.0
11.2040415,-7.5549026,-7.5549026,cognition,0.0003018757437619346,0.0
